name,album,artist,spotify_url
Engel,Sehnsucht (Anniversary Edition - Remastered),Rammstein,https://open.spotify.com/track/5Zuboc3Cj9Ldnc8HyUnNUK
Deutschland,Rammstein,Rammstein,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
Purple Lamborghini (with Rick Ross),Suicide Squad: The Album,Various Artists,https://open.spotify.com/track/1dDh5CNFdRHvkZxxy3CHAI
Gölge Haramileri,Kötü İnsanları Tanıma Senesi,Sagopa Kajmer,https://open.spotify.com/track/5pAYtBIaX0UL7x4xbNgQ4b
Du hast,Sehnsucht (Anniversary Edition - Remastered),Rammstein,https://open.spotify.com/track/6XcoiOYiNbIxzpt8WRxq8Z
Forty Six & 2,Ænima,TOOL,https://open.spotify.com/track/6AioOohg4bQZFA4jIYQQ2r
Sonne,Mutter,Rammstein,https://open.spotify.com/track/3gVhsZtseYtY1fMuyYq06F
Meftun,Kalp Hastası,Sagopa Kajmer,https://open.spotify.com/track/3CvtJZxjjBWCm1OTGbHIQH
Devil,Chapter V,Staind,https://open.spotify.com/track/3x3AgO0SS4sC3z1lmm4583
Toz Taneleri,Sarkastik,Sagopa Kajmer,https://open.spotify.com/track/36ulbeGLdspdIYSFKXIlmN
Sertlik Kanında Var Hayatın,Sertlik Kanında Var Hayatın,Sagopa Kajmer,https://open.spotify.com/track/7D9KBLwwotrSWrseRekDxn
Lügen,Zeit,Rammstein,https://open.spotify.com/track/1LvyuaK3gMkd4MLxSEf9MO
Wreak Havoc,Suicide Squad: The Album,Various Artists,https://open.spotify.com/track/0ibkMpgLiFiMM68xMDIGIp
The Lady in the Lake,King Arthur: Legend of the Sword (Original Motion Picture Soundtrack),Daniel Pemberton,https://open.spotify.com/track/48g6AsDfophoFi0vX7yR4u
Avutsun Bahaneler,Avutsun Bahaneler,Sagopa Kajmer,https://open.spotify.com/track/14NZoXCrTaI7ClIznTYIpf
The Phalanx,In The Court Of The Dragon,Trivium,https://open.spotify.com/track/14XbzZfy5y9U60gtjjfzdH
Doin' Time,Norman Fucking Rockwell!,Lana Del Rey,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX
Remembrance,"All Is Wild, All Is Silent",Balmorhea,https://open.spotify.com/track/7xiw42KTmCcqfZNCZqUcnF
Herkes,Saydam Odalar,Sagopa Kajmer,https://open.spotify.com/track/6m7wAIpKHytm2EkIAP39d3
Kötü İnsanları Tanıma Senesi,Kötü İnsanları Tanıma Senesi,Sagopa Kajmer,https://open.spotify.com/track/6u8Zwe95k5yGAIv2W9U6nY
Beyaban,Kötü İnsanları Tanıma Senesi,Sagopa Kajmer,https://open.spotify.com/track/2251jKmTjBb83otulgSLrz
Baytar,Kalp Hastası,Sagopa Kajmer,https://open.spotify.com/track/6iWvJmp3gA8DxTuN4BSECB
The Born King,King Arthur: Legend of the Sword (Original Motion Picture Soundtrack),Daniel Pemberton,https://open.spotify.com/track/0UjDuuXlL5qdV6LmsIZ7z4
Stinkfist,Ænima,TOOL,https://open.spotify.com/track/0pwObEOHolQZSldJ2q1wpy
Please,Chapter V,Staind,https://open.spotify.com/track/2jdNdq1FRdFCciZ0ooPESs
Heathens,Suicide Squad: The Album,Various Artists,https://open.spotify.com/track/3vZM2544ETmOCCHuBPZRzm
Street Games,Fable,Ryan Taubert,https://open.spotify.com/track/6c5Ahk0m3qHryZXLZaDPd6
Vasiyet,Romantizma,Sagopa Kajmer,https://open.spotify.com/track/168ZvVQDJd8xigT35ODXcl
Medieval Warfare,Suicide Squad: The Album,Various Artists,https://open.spotify.com/track/60QB81goFQieUq28DZEDZP
Sober,Undertow,TOOL,https://open.spotify.com/track/6DyywdbmTzlmXBzG9ym7Rt
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Suicide Squad: The Album,Various Artists,https://open.spotify.com/track/7qUJQSNX9QNf46CC6FgH66
Lament,Rivers Arms,Balmorhea,https://open.spotify.com/track/126Qo4ymcoUeVoP3j9BVMw
Perseus,Clash Of The Titans,Ramin Djawadi,https://open.spotify.com/track/2BImqnXwEUCI8kKbm8RiFJ
Only One Spider-Man,Spider-Man: Into the Spider-Verse (Original Score),Daniel Pemberton,https://open.spotify.com/track/2R0qk2SAxUELOP1DaMwI0O
"Machinery Of Torment (From The Netflix Film ""Metal Lords"")","Machinery Of Torment (From The Netflix Film ""Metal Lords"")",Skullflower,https://open.spotify.com/track/2nUIQb5rkpHa2DOxZ7vcOH
Güvensiz İnsanlar,Güvensiz İnsanlar,Sagopa Kajmer,https://open.spotify.com/track/3PnnOWYdWL6nu4nVj49llh
Symphony Of Destruction - Remastered 2012,Countdown To Extinction (Deluxe Edition - Remastered),Megadeth,https://open.spotify.com/track/5mR858YsHYG761aUqZoGkD
Devilcry,Helix,Crystal Lake,https://open.spotify.com/track/5syGLYhOUtAuXF0l1w3sSi
Passenger,White Pony,Deftones,https://open.spotify.com/track/7IoK6jZBxY7NMoQPoPXZCF
Standing in the Rain (with Mark Ronson & Dan Auerbach),Suicide Squad: The Album,Various Artists,https://open.spotify.com/track/6p586xRu0OuyR1ftsTvFoz
